ISIN;Year;Reporting date;Actual;Estimates;Mean;Surprise; Surpise (%) ;Surpise_Category;Standard Deviation
CH0001340204;FY Dec-23;09.02.2024;103.8641513; 1.00 ;99.77662868;4.087522593;0.04;Neutral;0
CH0001624714;FY Dec-20;26.02.2020;8.321902284; 3.00 ;7.05552585;1.266376435;0.18;Positive;0.056976298
CH0001624714;FY Dec-21;16.02.2022;-26.88123423; 1.00 ;0.468240026;-27.34947426;-58.41;Negativ;0
CH0001624714;FY Dec-22;21.02.2023;17.910181; 3.00 ;16.51397438;1.396206624;0.08;Positive;1.774278519
CH0001624714;FY Dec-23;20.02.2024;13.99399169; 2.00 ;12.29981414;1.694177549;0.14;Positive;1.364281167
CH0002178181;FY Dec-19;13.04.2020;1.351510985; 7.00 ;1.505817357;-0.154306372;-0.1;Negativ;0.13574704
CH0002178181;FY Dec-20;11.03.2021;1.468570991; 8.00 ;1.422545125;0.046025866;0.03;Neutral;0.093094631
CH0002178181;FY Dec-21;15.03.2022;1.426003716; 10.00 ;2.002577458;-0.576573741;-0.29;Negativ;0.359991446
CH0002178181;FY Dec-22;15.03.2023;0.776852771; 11.00 ;1.370762035;-0.593909264;-0.43;Negativ;0.307612414
CH0002178181;FY Dec-23;13.03.2024;1.319585528; 11.00 ;1.469347844;-0.149762316;-0.1;Negativ;0.097926016
CH0002361068;FY Dec-19;06.03.2020;2.149647393; 1.00 ;1.266376435;0.883270959;0.7;Positive;0
CH0002361068;FY Dec-20;05.03.2021;-0.202194557; 1.00 ;0.329896382;-0.532090939;-1.61;Negativ;0
CH0002361068;FY Dec-21;04.03.2022;-1.713332823; 1.00 ;-2.224140125;0.510807301;0.23;Positive;0
CH0002361068;FY Dec-22;13.04.2023;3.522442016; 1.00 ;5.842358509;-2.319916494;-0.4;Negativ;0
CH0002361068;FY Dec-23;15.04.2024;7.672751339; 1.00 ;5.448611214;2.224140125;0.41;Positive;0
CH0002432174;FY Dec-19;04.03.2020;23.32686676; 10.00 ;22.8104193;0.516447465;0.02;Neutral;0.727070343
CH0002432174;FY Dec-20;28.01.2021;15.65411542; 10.00 ;15.50832251;0.145792917;0.01;Neutral;0.990104177
CH0002432174;FY Dec-21;27.01.2022;27.62616155; 9.00 ;27.36377686;0.262384684;0.01;Neutral;0.626334886
CH0002432174;FY Dec-22;26.01.2023;34.43692557; 9.00 ;32.21845753;2.218468035;0.07;Positive;1.516139921
CH0002432174;FY Dec-23;30.01.2024;36.58657296; 8.00 ;34.21331967;2.373253289;0.07;Positive;2.59834904
CH0002619481;FY Dec-19;20.03.2020;;;;0;#DIV/0!;#DIV/0!;
CH0002619481;FY Dec-20;23.03.2021;112.5797796;1;68.93404126;43.64573831;0.63;Positive;0
CH0002619481;FY Dec-21;21.03.2022;115.327146;1;72.3932283;42.93391769;0.59;Positive;0
CH0002619481;FY Dec-22;20.03.2023;91.50619023;1;69.85815552;21.64803471;0.31;Positive;0
CH0002619481;FY Dec-23;20.03.2024;67.33140463;1;80.33979364;-13.00838901;-0.16;Negativ;0
CH0003390066;FY Dec-19;16.03.2020;0.574658214;1;0.585300033;-0.010641819;-0.02;Neutral;0
CH0003390066;FY Dec-20;10.03.2021;-1.436645535;2;-1.04821915;-0.388426385;-0.37;Negativ;0.34585911
CH0003390066;FY Dec-21;11.03.2022;1.106749153;2;0.989689146;0.117060007;0.12;Positive;0.180910919
